Disease,MealType,FoodName,DietType,Cuisine,Calories,Protein (g),Carbs (g),Fats (g),Ingredients,PreparationSteps,HealthNotes
Anemia,Snack,Tofu Stir Fry,Vegetarian,Asian,534,28.7,87.5,23.1,"firm tofu or tempeh, soy sauce (low sodium), mixed vegetables, garlic, ginger","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Press and cube tofu; marinate with low-sodium soy and spices. 3) Stir-fry on high heat with vegetables to retain texture. 4) Finish with a splash of lemon and chopped herbs; serve hot.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.
Celiac Disease,Lunch,Besan Chilla,Vegan,Indian,301,21.4,69.4,19.8,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Hypertension,Dinner,Steamed Fish with spices,Pescatarian,Indian,566,23.7,26.9,17.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure."
Depression/Anxiety,Breakfast,Fish Curry (light),Non-Vegetarian,Indian,606,38.1,64.5,9.6,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
Obesity,Snack,Lemon Herb Fish with spinach,Pescatarian,Mediterranean,646,23.6,68.4,8.4,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Anemia,Breakfast,Roast Chicken with Herbs light masala,Non-Vegetarian,Continental,474,18.9,57.5,18.9,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.
GERD,Lunch,Chicken and Broccoli Stir Fry,Non-Vegetarian,Asian,410,33.1,42.6,11.9,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
GERD,Dinner,Grilled Tandoori Chicken,Non-Vegetarian,Indian,619,31.7,34.4,27.2,"lean chicken breast, garlic, yogurt (low-fat), spices (paprika, turmeric), olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Non-acidic, low-fat options; avoid spicy, fried, and highly acidic foods to reduce reflux."
Thyroid,Lunch,Avocado Toast with Seeds,Vegetarian,Continental,323,28.5,39.1,13.0,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
Obesity,Snack,Baked Cod with Herbs light masala,Pescatarian,Continental,419,13.3,78.4,13.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Lower-calorie meals with high fiber and protein to increase satiety and support weight loss.
Kidney Disease,Dinner,Rice Noodle Salad and mixed veggies,Vegan,Asian,377,19.6,83.2,9.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Celiac Disease,Lunch,Vegetable Sushi Bowl,Vegetarian,Asian,273,25.5,25.0,8.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Fatty Liver,Breakfast,Steamed Fish with Ginger,Non-Vegetarian,Asian,170,33.3,19.0,20.6,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.",Low sugar and refined carbs; moderate healthy fats and lean protein to support liver health.
Thyroid,Breakfast,Egg Bhurji,Non-Vegetarian,Indian,240,34.5,42.9,20.9,"egg whites, spinach, onion, pepper, olive oil spray","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Balanced iodine and selenium sources, moderate calories to support metabolic health."
Heart Disease,Lunch,Rice Noodle Salad with quinoa,Vegan,Asian,641,6.5,77.9,21.9,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Kidney Disease,Breakfast,Baked Cod with Herbs light masala,Pescatarian,Continental,172,13.8,72.2,9.2,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
Heart Disease,Breakfast,Baked Cod with Herbs,Pescatarian,Continental,608,15.2,18.6,4.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Rich in omega-3, fiber, and antioxidants; low in saturated/trans fats to support cardiovascular health."
Celiac Disease,Snack,Paneer Bhurji,Vegetarian,Indian,237,9.2,57.9,12.8,"paneer or halloumi, bell peppers, olive oil, spinach or greens","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
Depression/Anxiety,Dinner,Salmon Teriyaki (light) and mixed veggies,Pescatarian,Asian,263,9.4,87.6,17.4,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.","Mood-supporting nutrients: omega-3s, vitamin D, B vitamins, magnesium; balanced meals."
Anemia,Dinner,Avocado Toast with Seeds,Vegetarian,Continental,447,15.5,34.2,20.6,"main grains/legumes, seasonal vegetables, olive oil, herbs & spices","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook base ingredients (grains/legumes) until al dente. 3) Lightly sauté vegetables; combine with base and season minimally. 4) Serve warm and garnish with herbs/seeds.",Iron- and folate-rich ingredients; pairs with vitamin C sources to enhance absorption.
Kidney Disease,Lunch,Grilled Halloumi Salad,Vegetarian,Continental,647,18.7,54.6,5.7,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Lower sodium and potassium when needed; moderate protein and controlled phosphorus.
PCOS,Breakfast,Turkey Salad with herbs,Non-Vegetarian,Continental,215,27.9,37.9,23.2,"mixed greens, tomatoes, cucumber, olive oil, lemon juice, quinoa or chickpeas","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook any base (quinoa, rice or legumes) until tender and let cool. 3) Chop fresh vegetables and herbs; combine with base and protein source. 4) Dress lightly with olive oil, lemon juice, and a pinch of salt; toss and serve.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
Hypertension,Breakfast,Baked Herb Salmon,Non-Vegetarian,Mediterranean,202,10.8,60.1,14.8,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.","Low sodium, emphasizes potassium-rich vegetables and lean proteins to support blood pressure."
Celiac Disease,Lunch,Fish Tikka (tandoor style),Pescatarian,Indian,539,17.5,23.7,11.0,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Season fish lightly with herbs, lemon, and a small amount of oil. 3) Steam or bake until just cooked through to preserve moisture. 4) Serve immediately with steamed greens; avoid fried preparations.","Strictly gluten-free ingredients (rice, quinoa, millet) to avoid autoimmune reaction."
High Cholesterol,Snack,Ragi Porridge with herbs,Vegan,Indian,566,22.6,51.0,27.0,"rolled oats, water or low-fat milk, nuts (almonds/walnuts), seeds (flax/chia), fresh berries or fruit, olive oil","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Cook oats in water or low-fat milk over medium heat until soft. 3) Stir in seeds and nuts; simmer briefly; add fresh fruits or cinnamon for flavor. 4) Serve warm; portion control advised for diabetes/weight management.",High soluble fiber and lean proteins to reduce LDL cholesterol.
PCOS,Dinner,Baked Cod with Herbs,Pescatarian,Continental,377,29.8,41.3,21.9,"fresh fish fillet, lemon, garlic, olive oil, mixed herbs","1) Prepare and measure ingredients: wash and chop vegetables, rinse grains/legumes if needed. 2) Marinate protein/vegetables with minimal oil, herbs, and lemon. 3) Preheat grill or oven; cook until done, turning once for even cooking. 4) Serve with steamed vegetables or salad; avoid heavy sauces.",Higher protein and low-glycemic carbohydrates to help regulate insulin and support hormones.
